parameter,step,counts,bin_centers,bin_width
gpt_neox.layers.1.input_layernorm.bias,142000,"[ 1.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  1.  0.  2.  1.  2.
  4.  2.  6.  3.  6. 14. 13. 16. 14. 18. 21. 23. 28. 30. 24. 24. 30. 27.
 30. 22. 14. 25. 23. 14. 20. 12.  7.  8.  7.  4.  1.  5.  0.  0.  2.  2.
  1.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  1.  0.  0.  0.  0.  0.  0.  0.  1.  1.]","[-0.38207886 -0.37035766 -0.35863647 -0.34691527 -0.33519408 -0.3234729
 -0.31175172 -0.30003053 -0.28830934 -0.27658814 -0.26486695 -0.25314575
 -0.24142456 -0.22970337 -0.21798219 -0.206261   -0.1945398  -0.1828186
 -0.17109743 -0.15937623 -0.14765504 -0.13593385 -0.12421265 -0.11249146
 -0.10077026 -0.08904907 -0.07732789 -0.06560671 -0.05388552 -0.04216433
 -0.03044313 -0.01872194 -0.00700074  0.00472045  0.01644164  0.02816284
  0.03988403  0.05160521  0.06332639  0.07504758  0.08676878  0.09848997
  0.11021116  0.12193236  0.13365355  0.14537475  0.15709594  0.16881713
  0.18053833  0.19225952  0.20398071  0.21570191  0.2274231   0.2391443
  0.2508655   0.26258668  0.27430788  0.28602907  0.29775026  0.30947146
  0.32119265  0.33291385  0.344635    0.3563562   0.3680774   0.3797986
  0.39151978  0.40324098  0.41496217  0.42668337  0.43840456  0.45012575
  0.46184695  0.47356814  0.4852893   0.4970105   0.5087317   0.52045286
  0.5321741   0.54389524  0.5556165   0.56733763  0.5790589   0.59078
  0.6025013   0.6142224   0.62594366  0.6376648   0.649386    0.6611072
  0.6728283   0.68454957  0.6962707   0.70799196  0.7197131   0.73143435
  0.7431555   0.75487673  0.76659787  0.7783191 ]",0.011721193790435791
gpt_neox.layers.1.input_layernorm.bias,143000,"[ 1.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  1.  0.  2.  1.  2.
  4.  2.  6.  3.  6. 14. 13. 16. 14. 18. 21. 22. 29. 27. 26. 25. 27. 29.
 29. 23. 15. 22. 26. 13. 20. 12.  8.  8.  7.  4.  1.  4.  1.  0.  2.  2.
  1.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  1.  0.  0.  0.  0.  0.  0.  0.  1.  1.]","[-0.38280517 -0.37107176 -0.35933837 -0.347605   -0.33587158 -0.32413816
 -0.31240478 -0.3006714  -0.288938   -0.27720457 -0.2654712  -0.25373778
 -0.2420044  -0.23027098 -0.2185376  -0.20680419 -0.1950708  -0.18333739
 -0.17160401 -0.1598706  -0.14813721 -0.1364038  -0.1246704  -0.112937
 -0.10120361 -0.08947021 -0.07773681 -0.06600341 -0.05427001 -0.04253662
 -0.03080322 -0.01906982 -0.00733641  0.00439699  0.01613039  0.02786379
  0.03959718  0.05133058  0.06306398  0.07479738  0.08653077  0.09826417
  0.10999757  0.12173098  0.13346437  0.14519775  0.15693116  0.16866457
  0.18039799  0.19213137  0.20386472  0.2155981   0.22733152  0.23906493
  0.25079834  0.26253173  0.2742651   0.28599852  0.29773194  0.30946532
  0.3211987   0.3329321   0.34466553  0.3563989   0.3681323   0.3798657
  0.39159912  0.4033325   0.4150659   0.4267993   0.4385327   0.45026612
  0.4619995   0.4737329   0.4854663   0.4971997   0.5089331   0.5206665
  0.5323999   0.5441333   0.5558667   0.5676001   0.5793335   0.5910669
  0.6028003   0.61453366  0.6262671   0.6380005   0.6497339   0.66146725
  0.67320067  0.6849341   0.6966675   0.70840085  0.72013426  0.7318677
  0.7436011   0.7553345   0.76706785  0.77880126]",0.011733412742614746
gpt_neox.layers.1.post_attention_layernorm.weight,142000,"[ 1.  0.  0.  1.  0.  1.  0.  2.  2.  2.  5.  6.  4.  9. 11. 15. 16. 22.
 21. 41. 25. 30. 32. 26. 40. 30. 32. 11. 28. 22. 17. 12.  8.  8.  2.  5.
  0.  2.  3.  1.  1.  1.  0.  2.  2.  2.  3.  1.  0.  0.  1.  0.  0.  1.
  1.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  1.  0.  0.  0.  0.  0.  0.  0.  1.]","[0.8281567  0.84872806 0.8692993  0.88987064 0.9104419  0.9310132
 0.95158446 0.9721558  0.99272704 1.0132983  1.0338696  1.054441
 1.0750122  1.0955834  1.1161548  1.1367261  1.1572974  1.1778686
 1.19844    1.2190113  1.2395825  1.2601538  1.2807251  1.3012965
 1.3218677  1.3424389  1.3630102  1.3835816  1.4041529  1.4247241
 1.4452953  1.4658668  1.486438   1.5070093  1.5275805  1.548152
 1.5687232  1.5892944  1.6098657  1.6304371  1.6510084  1.6715796
 1.6921508  1.7127223  1.7332935  1.7538648  1.774436   1.7950073
 1.8155787  1.8361499  1.8567212  1.8772924  1.8978637  1.9184351
 1.9390063  1.9595776  1.9801488  2.0007203  2.0212915  2.0418627
 2.062434   2.0830054  2.1035767  2.124148   2.1447191  2.1652906
 2.1858618  2.206433   2.2270043  2.2475758  2.268147   2.2887182
 2.3092895  2.329861   2.3504322  2.3710034  2.3915746  2.412146
 2.4327173  2.4532886  2.4738598  2.494431   2.5150025  2.5355737
 2.556145   2.5767164  2.5972877  2.617859   2.63843    2.6590014
 2.6795728  2.700144   2.7207153  2.7412868  2.761858   2.7824292
 2.8030005  2.8235717  2.8441432  2.8647144 ]",0.02057129144668579
gpt_neox.layers.1.post_attention_layernorm.weight,143000,"[ 1.  0.  0.  0.  1.  1.  0.  2.  2.  2.  3.  8.  3. 10. 11. 15. 15. 23.
 20. 40. 30. 25. 33. 25. 42. 30. 29. 14. 27. 23. 16. 12.  9.  7.  3.  5.
  0.  2.  3.  1.  1.  1.  1.  1.  2.  2.  3.  1.  0.  0.  1.  0.  0.  0.
  2.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  1.  0.  0.  0.  0.  0.  0.  0.  1.]","[0.8286621  0.8492676  0.86987305 0.8904785  0.911084   0.93168944
 0.95229495 0.9729004  0.99350584 1.0141113  1.0347168  1.0553222
 1.0759277  1.0965333  1.1171386  1.1377442  1.1583495  1.1789551
 1.1995606  1.220166   1.2407715  1.2613769  1.2819824  1.302588
 1.3231933  1.3437989  1.3644043  1.3850098  1.4056153  1.4262207
 1.4468262  1.4674317  1.4880371  1.5086427  1.529248   1.5498536
 1.570459   1.5910645  1.61167    1.6322753  1.6528809  1.6734864
 1.6940918  1.7146974  1.7353027  1.7559083  1.7765137  1.7971191
 1.8177247  1.83833    1.8589356  1.8795409  1.9001465  1.9207519
 1.9413574  1.9619629  1.9825683  2.0031738  2.0237794  2.0443847
 2.0649903  2.0855956  2.1062012  2.1268067  2.147412   2.1680176
 2.188623   2.2092285  2.229834   2.2504394  2.271045   2.2916503
 2.3122559  2.3328614  2.3534667  2.3740723  2.3946776  2.4152832
 2.4358888  2.456494   2.4770997  2.497705   2.5183105  2.538916
 2.5595214  2.580127   2.6007323  2.621338   2.6419435  2.6625488
 2.6831543  2.7037597  2.7243652  2.7449708  2.7655761  2.7861817
 2.806787   2.8273926  2.8479981  2.8686035 ]",0.02060544490814209
gpt_neox.layers.1.post_attention_layernorm.bias,142000,"[ 1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  1.
  1.  0.  1.  0.  1.  1.  2.  2.  5.  5. 16. 11. 12. 19. 26. 31. 31. 43.
 29. 41. 40. 39. 38. 32. 25. 14. 14.  8.  6.  3.  5.  0.  1.  1.  0.  0.
  0.  0.  1.  2.  0.  0.  1.  0.  0.  1.]","[-1.67101312e+00 -1.64780521e+00 -1.62459707e+00 -1.60138917e+00
 -1.57818115e+00 -1.55497313e+00 -1.53176522e+00 -1.50855708e+00
 -1.48534918e+00 -1.46214104e+00 -1.43893313e+00 -1.41572511e+00
 -1.39251709e+00 -1.36930907e+00 -1.34610105e+00 -1.32289314e+00
 -1.29968500e+00 -1.27647710e+00 -1.25326908e+00 -1.23006105e+00
 -1.20685303e+00 -1.18364501e+00 -1.16043711e+00 -1.13722897e+00
 -1.11402106e+00 -1.09081292e+00 -1.06760502e+00 -1.04439700e+00
 -1.02118897e+00 -9.97980952e-01 -9.74772990e-01 -9.51564968e-01
 -9.28356946e-01 -9.05148923e-01 -8.81940961e-01 -8.58732939e-01
 -8.35524917e-01 -8.12316895e-01 -7.89108932e-01 -7.65900910e-01
 -7.42692888e-01 -7.19484866e-01 -6.96276903e-01 -6.73068881e-01
 -6.49860919e-01 -6.26652896e-01 -6.03444874e-01 -5.80236852e-01
 -5.57028830e-01 -5.33820808e-01 -5.10612786e-01 -4.87404764e-01
 -4.64196742e-01 -4.40988719e-01 -4.17780697e-01 -3.94572675e-01
 -3.71364683e-01 -3.48156720e-01 -3.24948728e-01 -3.01740706e-01
 -2.78532684e-01 -2.55324662e-01 -2.32116669e-01 -2.08908677e-01
 -1.85700655e-01 -1.62492663e-01 -1.39284670e-01 -1.16076648e-01
 -9.28686261e-02 -6.96606040e-02 -4.64526117e-02 -2.32446194e-02
 -3.65972519e-05  2.31713951e-02  4.63793874e-02  6.95874095e-02
  9.27954316e-02  1.16003454e-01  1.39211446e-01  1.62419438e-01
  1.85627460e-01  2.08835468e-01  2.32043460e-01  2.55251467e-01
  2.78459489e-01  3.01667511e-01  3.24875474e-01  3.48083496e-01
  3.71291518e-01  3.94499540e-01  4.17707503e-01  4.40915525e-01
  4.64123547e-01  4.87331569e-01  5.10539532e-01  5.33747554e-01
  5.56955576e-01  5.80163598e-01  6.03371561e-01  6.26579583e-01]",0.023208022117614746
gpt_neox.layers.1.post_attention_layernorm.bias,143000,"[ 1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  1.
  1.  0.  1.  0.  1.  1.  2.  2.  5.  6. 15. 12. 11. 20. 26. 30. 31. 44.
 28. 41. 40. 41. 37. 31. 25. 14. 15.  9.  4.  3.  5.  0.  1.  1.  0.  0.
  0.  0.  2.  1.  0.  0.  1.  0.  0.  1.]","[-1.6729492e+00 -1.6497071e+00 -1.6264648e+00 -1.6032226e+00
 -1.5799805e+00 -1.5567383e+00 -1.5334961e+00 -1.5102539e+00
 -1.4870117e+00 -1.4637696e+00 -1.4405273e+00 -1.4172852e+00
 -1.3940430e+00 -1.3708007e+00 -1.3475586e+00 -1.3243164e+00
 -1.3010743e+00 -1.2778320e+00 -1.2545898e+00 -1.2313477e+00
 -1.2081054e+00 -1.1848633e+00 -1.1616211e+00 -1.1383790e+00
 -1.1151367e+00 -1.0918945e+00 -1.0686524e+00 -1.0454102e+00
 -1.0221680e+00 -9.9892581e-01 -9.7568357e-01 -9.5244145e-01
 -9.2919922e-01 -9.0595710e-01 -8.8271487e-01 -8.5947263e-01
 -8.3623052e-01 -8.1298828e-01 -7.8974617e-01 -7.6650393e-01
 -7.4326169e-01 -7.2001958e-01 -6.9677734e-01 -6.7353523e-01
 -6.5029299e-01 -6.2705082e-01 -6.0380864e-01 -5.8056647e-01
 -5.5732429e-01 -5.3408206e-01 -5.1083982e-01 -4.8759758e-01
 -4.6435541e-01 -4.4111323e-01 -4.1787106e-01 -3.9462888e-01
 -3.7138668e-01 -3.4814450e-01 -3.2490233e-01 -3.0166015e-01
 -2.7841794e-01 -2.5517574e-01 -2.3193356e-01 -2.0869139e-01
 -1.8544921e-01 -1.6220701e-01 -1.3896480e-01 -1.1572263e-01
 -9.2480451e-02 -6.9238275e-02 -4.5996070e-02 -2.2753865e-02
  4.8831105e-04  2.3730487e-02  4.6972662e-02  7.0214868e-02
  9.3457073e-02  1.1669925e-01  1.3994142e-01  1.6318360e-01
  1.8642579e-01  2.0966798e-01  2.3291017e-01  2.5615236e-01
  2.7939454e-01  3.0263674e-01  3.2587892e-01  3.4912109e-01
  3.7236330e-01  3.9560547e-01  4.1884765e-01  4.4208986e-01
  4.6533203e-01  4.8857424e-01  5.1181638e-01  5.3505862e-01
  5.5830073e-01  5.8154297e-01  6.0478520e-01  6.2802732e-01]",0.02324223518371582
gpt_neox.layers.1.attention.query_key_value.weight,142000,"[1.0000e+00 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 1.0000e+00 0.0000e+00 1.0000e+00 3.0000e+00 2.0000e+00 3.0000e+00
 2.0000e+00 1.1000e+01 9.0000e+00 9.0000e+00 8.0000e+00 1.8000e+01
 1.9000e+01 3.0000e+01 3.2000e+01 6.1000e+01 7.2000e+01 1.1200e+02
 1.3200e+02 1.8900e+02 2.8300e+02 3.4200e+02 4.9000e+02 6.1800e+02
 7.8600e+02 1.1810e+03 1.4360e+03 1.8400e+03 2.3130e+03 3.0850e+03
 3.9290e+03 5.0880e+03 6.4330e+03 8.2430e+03 1.0439e+04 1.3137e+04
 1.6607e+04 2.1115e+04 2.5748e+04 3.1513e+04 3.7287e+04 4.3583e+04
 4.8980e+04 5.3716e+04 5.7146e+04 5.6571e+04 5.3958e+04 4.8904e+04
 4.2688e+04 3.6892e+04 3.1000e+04 2.4981e+04 2.0195e+04 1.6274e+04
 1.2818e+04 1.0120e+04 8.0630e+03 6.1870e+03 4.8420e+03 3.8240e+03
 2.9850e+03 2.3650e+03 1.8720e+03 1.4220e+03 1.1240e+03 8.6400e+02
 6.1100e+02 4.7000e+02 3.2500e+02 2.5900e+02 1.8900e+02 1.5400e+02
 1.1200e+02 9.2000e+01 6.9000e+01 3.7000e+01 3.5000e+01 2.8000e+01
 1.6000e+01 9.0000e+00 6.0000e+00 1.0000e+00 5.0000e+00 4.0000e+00
 1.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 1.0000e+00 1.0000e+00
 1.0000e+00 1.0000e+00 0.0000e+00 1.0000e+00]","[-0.27413818 -0.2687036  -0.26326904 -0.25783446 -0.2523999  -0.24696533
 -0.24153076 -0.23609619 -0.23066163 -0.22522706 -0.21979249 -0.21435791
 -0.20892334 -0.20348877 -0.1980542  -0.19261962 -0.18718505 -0.18175048
 -0.17631592 -0.17088135 -0.16544679 -0.16001222 -0.15457764 -0.14914307
 -0.1437085  -0.13827392 -0.13283935 -0.12740478 -0.12197021 -0.11653565
 -0.11110108 -0.1056665  -0.10023193 -0.09479736 -0.08936279 -0.08392822
 -0.07849365 -0.07305908 -0.06762451 -0.06218994 -0.05675536 -0.0513208
 -0.04588623 -0.04045166 -0.03501709 -0.02958252 -0.02414795 -0.01871338
 -0.01327881 -0.00784424 -0.00240967  0.00302491  0.00845948  0.01389404
  0.01932861  0.02476318  0.03019775  0.03563233  0.04106689  0.04650146
  0.05193603  0.0573706   0.06280518  0.06823975  0.07367431  0.07910888
  0.08454345  0.08997802  0.0954126   0.10084717  0.10628174  0.11171631
  0.11715087  0.12258545  0.12802002  0.13345459  0.13888916  0.14432374
  0.14975831  0.15519288  0.16062744  0.16606201  0.17149657  0.17693114
  0.18236572  0.18780029  0.19323486  0.19866943  0.204104    0.20953858
  0.21497315  0.22040772  0.22584228  0.23127685  0.23671143  0.242146
  0.24758056  0.25301513  0.2584497   0.26388428]",0.005434572696685791
gpt_neox.layers.1.attention.query_key_value.weight,143000,"[1.0000e+00 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 1.0000e+00 0.0000e+00 1.0000e+00 3.0000e+00 2.0000e+00 3.0000e+00
 5.0000e+00 9.0000e+00 7.0000e+00 8.0000e+00 1.1000e+01 1.6000e+01
 2.2000e+01 2.5000e+01 3.8000e+01 5.2000e+01 8.4000e+01 9.1000e+01
 1.5000e+02 1.8000e+02 2.6100e+02 3.6500e+02 4.8400e+02 6.3700e+02
 8.0500e+02 1.1760e+03 1.4350e+03 1.8300e+03 2.3050e+03 3.1560e+03
 4.0470e+03 4.9940e+03 6.6020e+03 8.3210e+03 1.0462e+04 1.3375e+04
 1.6773e+04 2.1297e+04 2.6203e+04 3.1948e+04 3.7760e+04 4.4058e+04
 4.9292e+04 5.4302e+04 5.7347e+04 5.6512e+04 5.3939e+04 4.8587e+04
 4.2220e+04 3.6659e+04 3.0468e+04 2.4436e+04 2.0119e+04 1.5869e+04
 1.2713e+04 9.8600e+03 7.8370e+03 6.0480e+03 4.7940e+03 3.7460e+03
 2.8650e+03 2.3330e+03 1.7880e+03 1.4300e+03 1.0900e+03 8.5200e+02
 5.7800e+02 4.4700e+02 3.0500e+02 2.4800e+02 1.8700e+02 1.4300e+02
 1.2300e+02 8.0000e+01 6.8000e+01 3.9000e+01 3.1000e+01 2.7000e+01
 1.4000e+01 8.0000e+00 6.0000e+00 3.0000e+00 4.0000e+00 3.0000e+00
 2.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 1.0000e+00 1.0000e+00
 1.0000e+00 1.0000e+00 0.0000e+00 1.0000e+00]","[-0.27365112 -0.268219   -0.26278687 -0.25735474 -0.2519226  -0.24649048
 -0.24105835 -0.23562622 -0.23019409 -0.22476196 -0.21932983 -0.2138977
 -0.20846558 -0.20303345 -0.19760132 -0.19216919 -0.18673706 -0.18130493
 -0.1758728  -0.17044067 -0.16500854 -0.15957642 -0.15414429 -0.14871216
 -0.14328003 -0.1378479  -0.13241577 -0.12698364 -0.12155151 -0.11611938
 -0.11068726 -0.10525513 -0.099823   -0.09439087 -0.08895874 -0.08352661
 -0.07809448 -0.07266235 -0.06723022 -0.0617981  -0.05636597 -0.05093384
 -0.04550171 -0.04006958 -0.03463745 -0.02920532 -0.02377319 -0.01834106
 -0.01290894 -0.00747681 -0.00204468  0.00338745  0.00881958  0.01425171
  0.01968384  0.02511597  0.0305481   0.03598022  0.04141235  0.04684448
  0.05227661  0.05770874  0.06314087  0.068573    0.07400513  0.07943726
  0.08486938  0.09030151  0.09573364  0.10116577  0.1065979   0.11203003
  0.11746216  0.12289429  0.12832642  0.13375854  0.13919067  0.1446228
  0.15005493  0.15548706  0.16091919  0.16635132  0.17178345  0.17721558
  0.1826477   0.18807983  0.19351196  0.19894409  0.20437622  0.20980835
  0.21524048  0.2206726   0.22610474  0.23153687  0.236969    0.24240112
  0.24783325  0.25326538  0.2586975   0.26412964]",0.00543212890625
gpt_neox.layers.1.attention.query_key_value.bias,142000,"[  1.   0.   1.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   1.   0.   0.   0.   1.   0.   2.   0.   1.
   2.   0.   0.   0.   1.   2.   3.   3.   3.   2.   3.   3.   2.   4.
   4.   3.   2.  10.   3.   9.   6.  18.  11.  17.  29.  33.  35.  81.
 980.  48.  42.  27.  17.  17.  13.  11.  15.   6.  14.   5.   3.   5.
   4.   3.   0.   2.   1.   3.   3.   2.   3.   1.   0.   3.   3.   0.
   0.   1.   0.   2.   0.   1.   1.   1.   0.   1.   1.   0.   0.   0.
   0.   1.]","[-30.94172    -30.387657   -29.833593   -29.279531   -28.725468
 -28.171406   -27.617344   -27.063282   -26.50922    -25.955156
 -25.401093   -24.84703    -24.292969   -23.738907   -23.184845
 -22.630783   -22.076717   -21.522655   -20.968594   -20.414532
 -19.86047    -19.306408   -18.752344   -18.19828    -17.644218
 -17.090157   -16.536095   -15.982032   -15.427969   -14.873907
 -14.319844   -13.765781   -13.2117195  -12.657657   -12.103594
 -11.549532   -10.995469   -10.441406    -9.887344    -9.333282
  -8.77922     -8.225157    -7.671095    -7.117032    -6.562969
  -6.0089073   -5.4548445   -4.9007816   -4.3467197   -3.792657
  -3.238593    -2.6845303   -2.1304684   -1.5764055   -1.0223427
  -0.4682808    0.08578205   0.6398449    1.1939068    1.7479696
   2.3020325    2.8560944    3.4101562    3.964219     4.518282
   5.072344     5.6264067    6.1804695    6.7345314    7.2885942
   7.842657     8.396719     8.950781     9.504845    10.058907
  10.612968    11.167032    11.721094    12.275156    12.82922
  13.383282    13.937344    14.491406    15.045469    15.599531
  16.153595    16.707657    17.261719    17.81578     18.369843
  18.923906    19.47797     20.032032    20.586094    21.140156
  21.694218    22.248281    22.802343    23.356407    23.91047   ]",0.5540618896484375
gpt_neox.layers.1.attention.query_key_value.bias,143000,"[  1.   0.   1.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   1.   0.   0.   0.   1.   0.   2.   0.   1.
   2.   0.   0.   0.   1.   2.   3.   3.   3.   2.   3.   3.   2.   4.
   3.   4.   2.  10.   3.   9.   6.  17.  12.  17.  29.  33.  35.  80.
 981.  46.  44.  27.  16.  18.  13.  11.  15.   6.  14.   5.   3.   5.
   4.   3.   0.   2.   1.   3.   3.   2.   3.   1.   0.   3.   3.   0.
   0.   1.   0.   2.   0.   1.   1.   1.   0.   1.   1.   0.   0.   0.
   0.   1.]","[-30.972734   -30.418203   -29.863672   -29.309141   -28.75461
 -28.200079   -27.645546   -27.091015   -26.536484   -25.981953
 -25.427422   -24.87289    -24.31836    -23.763828   -23.209297
 -22.654764   -22.100233   -21.545702   -20.99117    -20.43664
 -19.882109   -19.327578   -18.773046   -18.218515   -17.663984
 -17.109453   -16.554922   -16.000391   -15.445858   -14.891327
 -14.336796   -13.782265   -13.227734   -12.6732025  -12.118671
 -11.56414    -11.009609   -10.455077    -9.900545    -9.346014
  -8.791483    -8.236952    -7.6824207   -7.1278896   -6.5733585
  -6.0188274   -5.4642963   -4.9097652   -4.355233    -3.800703
  -3.2461739   -2.6916418   -2.1371098   -1.5825787   -1.0280476
  -0.47351646   0.08101463   0.63554573   1.1900768    1.7446079
   2.299139     2.8536701    3.4082022    3.9627342    4.5172653
   5.0717964    5.6263275    6.1808586    6.7353897    7.289921
   7.844452     8.398983     8.953515     9.508046    10.062577
  10.617109    11.17164     11.7261715   12.280703    12.835234
  13.389765    13.944296    14.498828    15.053359    15.60789
  16.162422    16.716953    17.271484    17.826015    18.380547
  18.935078    19.489609    20.04414     20.598671    21.153204
  21.707735    22.262266    22.816797    23.371328    23.92586   ]",0.5545310974121094
gpt_neox.layers.1.attention.dense.weight,142000,"[3.0000e+00 1.0000e+00 0.0000e+00 1.0000e+00 0.0000e+00 1.0000e+00
 1.0000e+00 4.0000e+00 1.0000e+00 2.0000e+00 0.0000e+00 2.0000e+00
 2.0000e+00 3.0000e+00 5.0000e+00 6.0000e+00 8.0000e+00 1.1000e+01
 1.4000e+01 2.0000e+01 1.9000e+01 2.9000e+01 5.3000e+01 7.6000e+01
 1.1800e+02 1.8200e+02 3.2400e+02 5.1300e+02 7.8400e+02 1.1340e+03
 1.6600e+03 2.5400e+03 3.4300e+03 4.7720e+03 6.2530e+03 8.0500e+03
 9.8980e+03 1.1931e+04 1.3906e+04 1.5942e+04 1.7151e+04 1.8147e+04
 1.8617e+04 1.8619e+04 1.7982e+04 1.6749e+04 1.4854e+04 1.2934e+04
 1.0862e+04 8.8220e+03 7.1020e+03 5.3560e+03 4.0780e+03 2.9370e+03
 2.0050e+03 1.4850e+03 9.7200e+02 6.1700e+02 4.0500e+02 2.6500e+02
 1.7400e+02 1.0100e+02 7.4000e+01 3.6000e+01 2.1000e+01 1.6000e+01
 6.0000e+00 1.0000e+01 1.1000e+01 5.0000e+00 8.0000e+00 4.0000e+00
 1.0000e+00 3.0000e+00 0.0000e+00 3.0000e+00 1.0000e+00 1.0000e+00
 1.0000e+00 1.0000e+00 2.0000e+00 0.0000e+00 1.0000e+00 0.0000e+00
 1.0000e+00 1.0000e+00 2.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 1.0000e+00 0.0000e+00 0.0000e+00 1.0000e+00]","[-0.17034729 -0.1663153  -0.16228333 -0.15825135 -0.15421936 -0.15018737
 -0.1461554  -0.14212342 -0.13809143 -0.13405944 -0.13002747 -0.12599549
 -0.1219635  -0.11793151 -0.11389954 -0.10986756 -0.10583557 -0.10180359
 -0.09777161 -0.09373963 -0.08970764 -0.08567566 -0.08164369 -0.0776117
 -0.07357971 -0.06954773 -0.06551576 -0.06148377 -0.05745178 -0.0534198
 -0.04938782 -0.04535584 -0.04132386 -0.03729187 -0.03325989 -0.02922791
 -0.02519593 -0.02116395 -0.01713197 -0.01309998 -0.009068   -0.00503601
 -0.00100403  0.00302795  0.00705993  0.01109191  0.01512389  0.01915587
  0.02318786  0.02721985  0.03125183  0.03528382  0.0393158   0.04334779
  0.04737977  0.05141175  0.05544373  0.05947571  0.06350769  0.06753968
  0.07157166  0.07560365  0.07963563  0.08366761  0.08769959  0.09173157
  0.09576355  0.09979554  0.10382752  0.10785951  0.11189148  0.11592346
  0.11995545  0.12398743  0.1280194   0.1320514   0.13608338  0.14011537
  0.14414734  0.14817932  0.15221131  0.1562433   0.16027527  0.16430725
  0.16833924  0.17237122  0.1764032   0.18043518  0.18446717  0.18849915
  0.19253112  0.19656311  0.2005951   0.20462708  0.20865905  0.21269104
  0.21672302  0.22075501  0.22478698  0.22881897]",0.0040319859981536865
