parameter,step,step_next,cos_sim,l1_change,l2_change,realtive_change,mean_squared_change,max_abs_change
gpt_neox.layers.3.attention.dense.bias,0,1,0.0,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.3.mlp.dense_h_to_4h.weight,0,1,0.99999994,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.3.mlp.dense_h_to_4h.bias,0,1,0.0,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.3.mlp.dense_4h_to_h.weight,0,1,0.99999994,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.3.mlp.dense_4h_to_h.bias,0,1,0.0,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.4.input_layernorm.weight,0,1,0.99999994,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.4.input_layernorm.bias,0,1,0.0,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.4.post_attention_layernorm.weight,0,1,0.99999994,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.4.post_attention_layernorm.bias,0,1,0.0,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.4.attention.query_key_value.weight,0,1,1.0000001,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.4.attention.query_key_value.bias,0,1,0.0,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.4.attention.dense.weight,0,1,1.0000001,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.4.attention.dense.bias,0,1,0.0,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.4.mlp.dense_h_to_4h.weight,0,1,1.0,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.4.mlp.dense_h_to_4h.bias,0,1,0.0,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.4.mlp.dense_4h_to_h.weight,0,1,1.0,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.4.mlp.dense_4h_to_h.bias,0,1,0.0,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.5.input_layernorm.weight,0,1,0.99999994,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.5.input_layernorm.bias,0,1,0.0,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.5.post_attention_layernorm.weight,0,1,0.99999994,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.5.post_attention_layernorm.bias,0,1,0.0,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.5.attention.query_key_value.weight,0,1,1.0,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.5.attention.query_key_value.bias,0,1,0.0,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.5.attention.dense.weight,0,1,1.0000001,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.5.attention.dense.bias,0,1,0.0,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.5.mlp.dense_h_to_4h.weight,0,1,1.0,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.5.mlp.dense_h_to_4h.bias,0,1,0.0,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.5.mlp.dense_4h_to_h.weight,0,1,1.0000001,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.5.mlp.dense_4h_to_h.bias,0,1,0.0,0.0,0.0,0.0,0.0,0.0
gpt_neox.final_layer_norm.weight,0,1,0.99999994,0.0,0.0,0.0,0.0,0.0
gpt_neox.final_layer_norm.bias,0,1,0.0,0.0,0.0,0.0,0.0,0.0
embed_out.weight,0,1,1.0,0.0,0.0,0.0,0.0,0.0
all_parameters,0,1,1.0,0.0,0.0,0.0,0.0,0.0
gpt_neox.embed_in.weight,1,2,1.0,0.5380724668502808,0.0006157952011562884,4.348248694441281e-06,1.4723128383240143e-14,9.5367431640625e-07
gpt_neox.layers.0.input_layernorm.weight,1,2,0.99999994,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.0.input_layernorm.bias,1,2,0.0,0.0003000497817993164,1.3306928849488031e-05,1.0,3.458483499585441e-13,5.960464477539062e-07
gpt_neox.layers.0.post_attention_layernorm.weight,1,2,0.99999994,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.0.post_attention_layernorm.bias,1,2,0.0,0.00029927492141723633,1.3299317288328893e-05,1.0,3.4545283300602136e-13,5.960464477539062e-07
gpt_neox.layers.0.attention.query_key_value.weight,1,2,1.0000001,0.028519093990325928,0.00014990265481173992,6.0565839703485835e-06,2.857310471126445e-14,9.5367431640625e-07
gpt_neox.layers.0.attention.query_key_value.bias,1,2,0.0,0.0006571412086486816,1.9575476471800357e-05,1.0,2.4947868749146396e-13,5.960464477539062e-07
gpt_neox.layers.0.attention.dense.weight,1,2,1.0,0.018777191638946533,0.00012203530786791816,1.6178579244296998e-05,5.681082503299767e-14,9.5367431640625e-07
gpt_neox.layers.0.attention.dense.bias,1,2,0.0,0.00029927492141723633,1.3298516023496632e-05,1.0,3.454111996425979e-13,5.960464477539062e-07
gpt_neox.layers.0.mlp.dense_h_to_4h.weight,1,2,1.0000001,0.03983396291732788,0.00017759976617526263,6.204283181432402e-06,3.0080487932329994e-14,9.5367431640625e-07
gpt_neox.layers.0.mlp.dense_h_to_4h.bias,1,2,0.0,0.001201331615447998,2.663994200702291e-05,1.0,3.46526626837651e-13,5.960464477539062e-07
gpt_neox.layers.0.mlp.dense_4h_to_h.weight,1,2,1.0,0.07839411497116089,0.00024987198412418365,1.6576115740463138e-05,5.954361081885601e-14,9.5367431640625e-07
gpt_neox.layers.0.mlp.dense_4h_to_h.bias,1,2,0.0,0.00029927492141723633,1.3298516023496632e-05,1.0,3.454111996425979e-13,5.960464477539062e-07
gpt_neox.layers.1.input_layernorm.weight,1,2,0.99999994,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.1.input_layernorm.bias,1,2,0.0,0.00030118227005004883,1.3350509107112885e-05,1.0,3.4811736826512174e-13,5.960464477539062e-07
gpt_neox.layers.1.post_attention_layernorm.weight,1,2,0.99999994,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.1.post_attention_layernorm.bias,1,2,0.0,0.00030094385147094727,1.3353967915463727e-05,1.0,3.4829777950662333e-13,5.960464477539062e-07
gpt_neox.layers.1.attention.query_key_value.weight,1,2,1.0000001,0.029826760292053223,0.00015359517419710755,6.1972191360837314e-06,2.999811228414362e-14,9.5367431640625e-07
gpt_neox.layers.1.attention.query_key_value.bias,1,2,0.0,0.0006579160690307617,1.9586634152801707e-05,1.0,2.4976318214152415e-13,5.960464477539062e-07
gpt_neox.layers.1.attention.dense.weight,1,2,1.0000001,0.01956385374069214,0.00012477410200517625,1.657369102758821e-05,5.938941016487426e-14,9.5367431640625e-07
gpt_neox.layers.1.attention.dense.bias,1,2,0.0,0.00030100345611572266,1.3349045730137732e-05,1.0,3.4804104043217876e-13,5.960464477539062e-07
gpt_neox.layers.1.mlp.dense_h_to_4h.weight,1,2,1.0000001,0.04076230525970459,0.00017999594274442643,6.282341018959414e-06,3.089765449786411e-14,9.5367431640625e-07
gpt_neox.layers.1.mlp.dense_h_to_4h.bias,1,2,0.0,0.0011994242668151855,2.6622732548275962e-05,1.0,3.46079068180849e-13,5.960464477539062e-07
gpt_neox.layers.1.mlp.dense_4h_to_h.weight,1,2,1.0,0.07800871133804321,0.000249168137088418,1.652590981393587e-05,5.920864655766661e-14,9.5367431640625e-07
gpt_neox.layers.1.mlp.dense_4h_to_h.bias,1,2,0.0,0.00030100345611572266,1.3349045730137732e-05,1.0,3.4804104043217876e-13,5.960464477539062e-07
gpt_neox.layers.2.input_layernorm.weight,1,2,0.99999994,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.2.input_layernorm.bias,1,2,0.0,0.00029987096786499023,1.3307596418599132e-05,1.0,3.458830444280636e-13,5.960464477539062e-07
gpt_neox.layers.2.post_attention_layernorm.weight,1,2,0.99999994,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.2.post_attention_layernorm.bias,1,2,0.0,0.00029987096786499023,1.331400198978372e-05,1.0,3.4621611133545116e-13,5.960464477539062e-07
gpt_neox.layers.2.attention.query_key_value.weight,1,2,1.0,0.029805421829223633,0.00015376527153421193,6.201807536854176e-06,3.0064590817975925e-14,9.5367431640625e-07
gpt_neox.layers.2.attention.query_key_value.bias,1,2,0.0,0.000656425952911377,1.9538962078513578e-05,1.0,2.485488757083404e-13,5.960464477539062e-07
gpt_neox.layers.2.attention.dense.weight,1,2,0.99999994,0.019633769989013672,0.0001249357155757025,1.6547419363632798e-05,5.954335332084004e-14,9.5367431640625e-07
gpt_neox.layers.2.attention.dense.bias,1,2,0.0,0.0003005862236022949,1.3327603483048733e-05,1.0,3.469238785136497e-13,5.960464477539062e-07
gpt_neox.layers.2.mlp.dense_h_to_4h.weight,1,2,0.9999999,0.04067593812942505,0.0001797992008505389,6.281912192207528e-06,3.083014597196794e-14,9.5367431640625e-07
gpt_neox.layers.2.mlp.dense_h_to_4h.bias,1,2,0.0,0.001199185848236084,2.6610452550812624e-05,1.0,3.4575987906126926e-13,5.960464477539062e-07
gpt_neox.layers.2.mlp.dense_4h_to_h.weight,1,2,0.99999994,0.07790261507034302,0.000249002332566306,1.652533137530554e-05,5.912986571730838e-14,9.5367431640625e-07
gpt_neox.layers.2.mlp.dense_4h_to_h.bias,1,2,0.0,0.0003005862236022949,1.3327603483048733e-05,1.0,3.469238785136497e-13,5.960464477539062e-07
gpt_neox.layers.3.input_layernorm.weight,1,2,0.99999994,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.3.input_layernorm.bias,1,2,0.0,0.00029981136322021484,1.3311466318555176e-05,1.0,3.460842723512769e-13,5.960464477539062e-07
gpt_neox.layers.3.post_attention_layernorm.weight,1,2,0.99999994,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.3.post_attention_layernorm.bias,1,2,0.0,0.0002993941307067871,1.3293706615513656e-05,1.0,3.4516139946205726e-13,5.960464477539062e-07
gpt_neox.layers.3.attention.query_key_value.weight,1,2,1.0000001,0.029921650886535645,0.00015391221677418798,6.219221177161671e-06,3.012208063817197e-14,9.5367431640625e-07
gpt_neox.layers.3.attention.query_key_value.bias,1,2,0.0,0.00064849853515625,1.9374352632439695e-05,1.0,2.4437860047209214e-13,5.960464477539062e-07
gpt_neox.layers.3.attention.dense.weight,1,2,0.9999999,0.019504845142364502,0.00012469427019823343,1.6541493096156046e-05,5.931343469763734e-14,9.5367431640625e-07
gpt_neox.layers.3.attention.dense.bias,1,2,0.0,0.0002987980842590332,1.3282477084430866e-05,1.0,3.4457853237412905e-13,5.960464477539062e-07
gpt_neox.layers.3.mlp.dense_h_to_4h.weight,1,2,1.0000001,0.04078906774520874,0.00018014018132817,6.297801519394852e-06,3.094719237275133e-14,9.5367431640625e-07
gpt_neox.layers.3.mlp.dense_h_to_4h.bias,1,2,0.0,0.0011997818946838379,2.6625002647051588e-05,1.0,3.461380487790322e-13,5.960464477539062e-07
gpt_neox.layers.3.mlp.dense_4h_to_h.weight,1,2,0.99999994,0.07806730270385742,0.0002494979999028146,1.6547270206501707e-05,5.936551705949811e-14,9.5367431640625e-07
gpt_neox.layers.3.mlp.dense_4h_to_h.bias,1,2,0.0,0.0002987980842590332,1.3282477084430866e-05,1.0,3.4457853237412905e-13,5.960464477539062e-07
gpt_neox.layers.4.input_layernorm.weight,1,2,0.99999994,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.4.input_layernorm.bias,1,2,0.0,0.0003008842468261719,1.334185799350962e-05,1.0,3.4766634016136777e-13,5.960464477539062e-07
gpt_neox.layers.4.post_attention_layernorm.weight,1,2,0.99999994,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.4.post_attention_layernorm.bias,1,2,0.0,0.00030219554901123047,1.3382536963035818e-05,1.0,3.497896416959634e-13,5.960464477539062e-07
gpt_neox.layers.4.attention.query_key_value.weight,1,2,1.0000001,0.02991276979446411,0.00015400936536025256,6.2131157392286696e-06,3.0160122581899054e-14,9.5367431640625e-07
gpt_neox.layers.4.attention.query_key_value.bias,1,2,0.0,0.0006514787673950195,1.942507878993638e-05,1.0,2.4565996480964414e-13,5.960464477539062e-07
gpt_neox.layers.4.attention.dense.weight,1,2,1.0000001,0.0195884108543396,0.00012515188427641988,1.6579580915276892e-05,5.974958212657394e-14,9.5367431640625e-07
gpt_neox.layers.4.attention.dense.bias,1,2,0.0,0.0003021359443664551,1.3379749361774884e-05,1.0,3.4964392492398133e-13,5.960464477539062e-07
gpt_neox.layers.4.mlp.dense_h_to_4h.weight,1,2,1.0,0.04098576307296753,0.00018061569426208735,6.315975952020381e-06,3.111079170431581e-14,9.5367431640625e-07
gpt_neox.layers.4.mlp.dense_h_to_4h.bias,1,2,0.0,0.0011976361274719238,2.6589083063299768e-05,1.0,3.452047675489567e-13,5.960464477539062e-07
gpt_neox.layers.4.mlp.dense_4h_to_h.weight,1,2,0.99999994,0.07752317190170288,0.00024853646755218506,1.647034332563635e-05,5.89088239993929e-14,9.5367431640625e-07
gpt_neox.layers.4.mlp.dense_4h_to_h.bias,1,2,0.0,0.0003021359443664551,1.3379749361774884e-05,1.0,3.4964392492398133e-13,5.960464477539062e-07
gpt_neox.layers.5.input_layernorm.weight,1,2,0.99999994,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.5.input_layernorm.bias,1,2,0.0,0.000301361083984375,1.3354100701690186e-05,1.0,3.4830471840052724e-13,5.960464477539062e-07
gpt_neox.layers.5.post_attention_layernorm.weight,1,2,0.99999994,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.5.post_attention_layernorm.bias,1,2,0.0,0.0003012418746948242,1.3356228919292334e-05,1.0,3.4841574070298975e-13,5.960464477539062e-07
gpt_neox.layers.5.attention.query_key_value.weight,1,2,1.0,0.029884159564971924,0.00015385303413495421,6.204661531228339e-06,3.009891936926225e-14,9.5367431640625e-07
gpt_neox.layers.5.attention.query_key_value.bias,1,2,0.0,0.0006586909294128418,1.9570756194298156e-05,1.0,2.493583952604267e-13,5.960464477539062e-07
gpt_neox.layers.5.attention.dense.weight,1,2,1.0000001,0.01968860626220703,0.00012510715168900788,1.660192538111005e-05,5.970687811350517e-14,9.5367431640625e-07
gpt_neox.layers.5.attention.dense.bias,1,2,0.0,0.00030046701431274414,1.3331601621757727e-05,1.0,3.471320453307669e-13,5.960464477539062e-07
gpt_neox.layers.5.mlp.dense_h_to_4h.weight,1,2,1.0,0.04093688726425171,0.00018061221635434777,6.305665920081083e-06,3.11095923056625e-14,9.5367431640625e-07
gpt_neox.layers.5.mlp.dense_h_to_4h.bias,1,2,0.0,0.0011958479881286621,2.6563015126157552e-05,1.0,3.4452822539332573e-13,5.960464477539062e-07
gpt_neox.layers.5.mlp.dense_4h_to_h.weight,1,2,1.0,0.07791680097579956,0.0002490383049007505,1.6504389350302517e-05,5.914695545405219e-14,9.5367431640625e-07
gpt_neox.layers.5.mlp.dense_4h_to_h.bias,1,2,0.0,0.00030046701431274414,1.3331601621757727e-05,1.0,3.471320453307669e-13,5.960464477539062e-07
gpt_neox.final_layer_norm.weight,1,2,0.99999994,0.0,0.0,0.0,0.0,0.0
gpt_neox.final_layer_norm.bias,1,2,0.0,0.00030171871185302734,1.336925652140053e-05,1.0,3.4909575230557266e-13,5.960464477539062e-07
embed_out.weight,1,2,1.0,0.9145389795303345,0.0008476236253045499,5.983784831187222e-06,2.7896013678283677e-14,9.5367431640625e-07
all_parameters,1,2,1.0,2.477670431137085,0.00138158502522856,5.815829354105517e-06,2.7104822225110063e-14,9.5367431640625e-07
gpt_neox.embed_in.weight,2,4,1.0000001,11.39732837677002,0.006063411943614483,4.281493238522671e-05,1.4277919124783267e-12,3.814697265625e-06
gpt_neox.layers.0.input_layernorm.weight,2,4,0.99999994,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.0.input_layernorm.bias,2,4,0.9969224,0.001592099666595459,7.081766671035439e-05,0.8423057794570923,9.795199373829888e-12,3.2186508178710938e-06
gpt_neox.layers.0.post_attention_layernorm.weight,2,4,0.99999994,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.0.post_attention_layernorm.bias,2,4,0.99761665,0.0015950202941894531,7.09430969436653e-05,0.8425067663192749,9.829928537818944e-12,3.2186508178710938e-06
gpt_neox.layers.0.attention.query_key_value.weight,2,4,1.0000001,0.5696970820426941,0.001430339878425002,5.779065395472571e-05,2.6014674355673284e-12,3.814697265625e-06
gpt_neox.layers.0.attention.query_key_value.bias,2,4,0.9943128,0.003481626510620117,0.00010374016710557044,0.8421605825424194,7.006525134384267e-12,3.2186508178710938e-06
gpt_neox.layers.0.attention.dense.weight,2,4,1.0,0.35852575302124023,0.001137058949097991,0.000150743275298737,4.9320417541687256e-12,3.814697265625e-06
gpt_neox.layers.0.attention.dense.bias,2,4,0.99729705,0.0015924572944641113,7.087062112987041e-05,0.8424295783042908,9.80985431775494e-12,3.2186508178710938e-06
gpt_neox.layers.0.mlp.dense_h_to_4h.weight,2,4,1.0000001,0.7872831225395203,0.0016879213508218527,5.896596849197522e-05,2.71710735508246e-12,3.814697265625e-06
gpt_neox.layers.0.mlp.dense_h_to_4h.bias,2,4,0.99602115,0.006384432315826416,0.00014198145072441548,0.8426421284675598,9.843131518194603e-12,3.2186508178710938e-06
gpt_neox.layers.0.mlp.dense_4h_to_h.weight,2,4,1.0,1.5005053281784058,0.0023365216329693794,0.0001550011511426419,5.206485416409112e-12,3.814697265625e-06
gpt_neox.layers.0.mlp.dense_4h_to_h.bias,2,4,0.99729705,0.0015924572944641113,7.087062112987041e-05,0.8424295783042908,9.80985431775494e-12,3.2186508178710938e-06
gpt_neox.layers.1.input_layernorm.weight,2,4,0.99999994,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.1.input_layernorm.bias,2,4,0.9966713,0.0016057491302490234,7.126258424250409e-05,0.8427424430847168,9.91866311306211e-12,3.2186508178710938e-06
gpt_neox.layers.1.post_attention_layernorm.weight,2,4,0.99999994,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.1.post_attention_layernorm.bias,2,4,0.99606943,0.0015995502471923828,7.10884778527543e-05,0.8424789905548096,9.870257389188453e-12,3.2186508178710938e-06
gpt_neox.layers.1.attention.query_key_value.weight,2,4,1.0000001,0.5904183983802795,0.001461543026380241,5.896996663068421e-05,2.716209202002773e-12,3.814697265625e-06
gpt_neox.layers.1.attention.query_key_value.bias,2,4,0.99360365,0.0034943819046020508,0.00010404126805951819,0.8425820469856262,7.0472564416002026e-12,3.2186508178710938e-06
gpt_neox.layers.1.attention.dense.weight,2,4,1.0000001,0.3723163604736328,0.00116289546713233,0.0001544668775750324,5.158719371817222e-12,3.814697265625e-06
gpt_neox.layers.1.attention.dense.bias,2,4,0.9971961,0.0016018152236938477,7.115911284927279e-05,0.8424814343452454,9.889880581148702e-12,3.2186508178710938e-06
gpt_neox.layers.1.mlp.dense_h_to_4h.weight,2,4,1.0000001,0.8036419153213501,0.0017085669096559286,5.963355579297058e-05,2.7839848482091867e-12,3.814697265625e-06
gpt_neox.layers.1.mlp.dense_h_to_4h.bias,2,4,0.9955958,0.006377041339874268,0.00014187880151439458,0.8426992297172546,9.828903316244642e-12,3.2186508178710938e-06
gpt_neox.layers.1.mlp.dense_4h_to_h.weight,2,4,1.0,1.4884874820709229,0.002325377892702818,0.0001542291574878618,5.156933473998704e-12,3.814697265625e-06
gpt_neox.layers.1.mlp.dense_4h_to_h.bias,2,4,0.9971961,0.0016018152236938477,7.115911284927279e-05,0.8424814343452454,9.889880581148702e-12,3.2186508178710938e-06
gpt_neox.layers.2.input_layernorm.weight,2,4,0.99999994,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.2.input_layernorm.bias,2,4,0.9970747,0.001593947410583496,7.092256419127807e-05,0.8424714803695679,9.82423864481774e-12,3.2186508178710938e-06
gpt_neox.layers.2.post_attention_layernorm.weight,2,4,0.99999994,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.2.post_attention_layernorm.bias,2,4,0.9974251,0.0015960335731506348,7.092058513080701e-05,0.8423485159873962,9.823690472199331e-12,3.2186508178710938e-06
gpt_neox.layers.2.attention.query_key_value.weight,2,4,1.0,0.5874312520027161,0.00145721563603729,5.877380681340583e-05,2.7001491320621795e-12,3.814697265625e-06
gpt_neox.layers.2.attention.query_key_value.bias,2,4,0.99282974,0.0034537315368652344,0.00010317499982193112,0.8419189453125,6.930391590470597e-12,3.2186508178710938e-06
gpt_neox.layers.2.attention.dense.weight,2,4,0.9999999,0.37078362703323364,0.0011600941652432084,0.00015365154831670225,5.133896779918601e-12,3.814697265625e-06
gpt_neox.layers.2.attention.dense.bias,2,4,0.99776626,0.0016001462936401367,7.111071317922324e-05,0.8425142765045166,9.87643300476293e-12,3.2186508178710938e-06
gpt_neox.layers.2.mlp.dense_h_to_4h.weight,2,4,0.9999999,0.8050273656845093,0.0017106274608522654,5.9766734921140596e-05,2.790702564869907e-12,3.814697265625e-06
gpt_neox.layers.2.mlp.dense_h_to_4h.bias,2,4,0.99641275,0.006369948387145996,0.0001417748280800879,0.8425340056419373,9.814503376670558e-12,3.2186508178710938e-06
gpt_neox.layers.2.mlp.dense_4h_to_h.weight,2,4,1.0,1.4868199825286865,0.002323738532140851,0.00015421763237100095,5.149662814230016e-12,3.814697265625e-06
gpt_neox.layers.2.mlp.dense_4h_to_h.bias,2,4,0.99776626,0.0016001462936401367,7.111071317922324e-05,0.8425142765045166,9.87643300476293e-12,3.2186508178710938e-06
gpt_neox.layers.3.input_layernorm.weight,2,4,0.99999994,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.3.input_layernorm.bias,2,4,0.99569196,0.0016011595726013184,7.116587221389636e-05,0.8431047797203064,9.891761021396661e-12,3.2186508178710938e-06
gpt_neox.layers.3.post_attention_layernorm.weight,2,4,0.99999994,0.0,0.0,0.0,0.0,0.0
gpt_neox.layers.3.post_attention_layernorm.bias,2,4,0.99600536,0.0015912055969238281,7.080193608999252e-05,0.8425532579421997,9.790848687352138e-12,3.2186508178710938e-06
gpt_neox.layers.3.attention.query_key_value.weight,2,4,1.0000001,0.5925167798995972,0.0014638748252764344,5.915164001635276e-05,2.7248843372656983e-12,3.814697265625e-06
gpt_neox.layers.3.attention.query_key_value.bias,2,4,0.9933685,0.0034407973289489746,0.00010283083247486502,0.8425126075744629,6.884231466136592e-12,3.2186508178710938e-06
gpt_neox.layers.3.attention.dense.weight,2,4,1.0,0.3719624876976013,0.0011622636811807752,0.0001541817473480478,5.15311491394721e-12,3.814697265625e-06
gpt_neox.layers.3.attention.dense.bias,2,4,0.9945922,0.0015922188758850098,7.083527452778071e-05,0.8429510593414307,9.800070477350431e-12,3.2186508178710938e-06
gpt_neox.layers.3.mlp.dense_h_to_4h.weight,2,4,1.0000001,0.8081275820732117,0.0017142160795629025,5.992994920234196e-05,2.80242495875882e-12,3.814697265625e-06
gpt_neox.layers.3.mlp.dense_h_to_4h.bias,2,4,0.9960776,0.00638890266418457,0.00014202392776496708,0.842747151851654,9.849020904395545e-12,3.2186508178710938e-06
